Año,Factor FV,SOH inicio,SOH mínimo técnico,SOH final,Capacidad BESS inicio [MWh],Capacidad BESS final [MWh],Ciclos mínimos técnicos,Ciclos máximos permitidos año,Ciclos equivalentes año,Ciclos equivalentes acumulados,EOL alcanzado,Energía demanda [MWh],Energía FV [MWh],Energía eólica [MWh],Energía red Valle [MWh],Energía red Resto [MWh],Energía red Pico [MWh],Carga renovable BESS [MWh],Carga red total [MWh],Descarga obligatoria [MWh],Descarga económica [MWh],Descarga total BESS [MWh],SOC mínimo observado [MWh],Costo red Valle [USD],Costo red Resto [USD],Costo red Pico [USD],Costo energía red [USD],OPEX FV [USD],OPEX eólico [USD],OPEX BESS [USD],OPEX total [USD],Costo potencia contratada [USD],Costo reemplazo BESS [USD],Flujo anual nominal [USD],VP flujo anual [USD],Demanda no abastecida [MWh],Horas no cumple,Cumple demanda,Exportación [MWh],Curtailment [MWh],Modo despacho,Energía red total [MWh],Aumento red vs año 1 [MWh],Aumento red vs año 1 [%],Pérdida FV vs año 1 [MWh],Variación FV vs año 1 [%],SOH BESS inicio [%],SOH BESS final [%],Pérdida capacidad BESS vs nominal [MWh],Costo energía red a precios año 1 [USD],VP costo energía red [USD],Demanda cubierta por red [%]
1,0.99,1.0,0.76416015625,0.99182950705702,20.06,19.896099911563823,13.971338142123187,9049.987449219198,326.8197177191948,326.8197177191948,False,129446.0,34155.77886483939,91431.64166666666,8151.777705651496,10584.713248187596,5803.079538867411,4179.6932272167005,2031.2574924699752,239.6266118769974,5365.756412640228,5605.383024517225,2.006,260856.88658084787,688006.3611321938,725384.9423584264,1674248.190071468,117098.82165352776,367235.0,86737.39085469577,571071.2125082235,810000.0,0.0,3055319.4025796917,2828999.446833047,0.0,0,True,20074.3680155105,1.0553135326144876,económico LP + reserva multianual de degradación,24539.570492706505,0.0,0.0,0.0,0.0,100.0,99.182950705702,0.16390008843617565,1674248.190071468,1550229.8056217295,18.95738029194143
2,0.986,0.99182950705702,0.76416015625,0.9837006184542348,19.896099911563823,19.733034406191948,13.975652696785074,8737.143384196788,325.1555441114162,651.975261830611,False,129446.0,34017.77571791075,91431.64166666666,8145.047952203791,10641.769251511556,5824.487453690444,4157.799663619221,2021.524750472892,239.70061209836985,5337.139671619763,5576.840283718132,1.9896099911563825,267157.5728322844,709007.8763819573,746262.4550040881,1722427.9042183296,120026.29219486594,376415.875,88905.82562606316,585347.992820929,830249.9999999999,0.0,3138025.8970392584,2690351.4206440826,0.0,0,True,20011.26670573149,0.9712058777364164,económico LP + reserva multianual de degradación,24611.304657405795,71.73416469928998,0.29232037586236626,138.0031469286405,-0.40404040404039554,99.182950705702,98.37006184542348,0.3269655938080511,1680417.4675300778,1476704.3074574154,19.012796577264492
3,0.982,0.9837006184542348,0.764453125,0.9756132544586298,19.733034406191948,19.57080188444011,13.97998507883705,8425.967825164209,323.49455982419965,975.4698216548106,False,129446.0,33879.77257098211,91431.64166666666,8137.7743949977585,10698.89153705897,5846.498618868463,4136.039009812072,2011.7197092048757,239.77491808265785,5308.577325830137,5548.352243912796,1.973303440619195,273591.9751598246,730633.9898729676,767809.7014310848,1772035.666463877,123026.94949973756,385826.271875,91128.47126671474,599981.6926414523,851006.2499999999,0.0,3223023.609105329,2558540.0544769983,0.0,0,True,19948.457493005502,0.7148204643116465,económico LP + reserva multianual de degradación,24683.16455092519,143.59405821868495,0.5851531030722932,276.006293857281,-0.8080808080807911,98.37006184542348,97.56132544586298,0.489198115559887,1686649.0579073192,1406699.0442766894,19.068309990980943
4,0.978,0.9756132544586298,0.764453125,0.967567633746072,19.57080188444011,19.40940673294621,13.984570897038765,8116.457836237048,321.8248285023019,1297.2946501571123,False,129446.0,33741.76942405346,91431.64166666666,8130.01214030357,10755.813373993376,5869.111706915808,4114.480307015294,2001.546486437923,239.8535708263809,5279.860610265148,5519.714181091529,1.9570801884440112,280164.2833609311,752884.2481357004,790048.9217819225,1823097.453278554,126102.623237231,395471.92867187486,93406.68304838258,614981.2349574885,872281.4062499998,0.0,3310360.0944860424,2433213.492953329,0.0,0,True,19885.511368791987,0.5243307792065721,económico LP + reserva multianual de degradación,24754.937221212756,215.3667285062511,0.8776303911686678,414.00944078592875,-1.2121212121211977,97.56132544586298,96.7567633746072,0.6505932670537895,1692927.2211637597,1340031.0527169243,19.12375602275293
5,0.974,0.967567633746072,0.7647460937499999,0.959563717075932,19.40940673294621,19.2488481645432,13.989156715240476,7808.622164449986,320.1566668056042,1617.4513169627166,False,129446.0,33603.766277124814,91431.64166666666,8121.864630836449,10812.861341372563,5891.974780442448,4093.178752256425,1991.145945120815,239.932223570104,5251.170815812855,5491.103039382959,1.9409406732946208,286880.60401371284,775799.4226546043,812954.7142362217,1875634.740904539,129255.18881816175,405358.7268886717,95741.85012459214,630355.7658314256,894088.4414062497,0.0,3400078.9481422137,2314036.6006937874,0.0,0,True,19822.51640295553,0.3706354931293809,económico LP + reserva multianual de degradación,24826.70075265146,287.13025994495547,1.1700704379903246,552.0125877145765,-1.6161616161616155,96.7567633746072,95.9563717075932,0.8111518354567977,1699232.502931289,1276525.488432386,19.17919499455484
6,0.97,0.959563717075932,0.7650390624999999,0.9516017832503476,19.2488481645432,19.089131772001974,13.994144424091372,7502.459642068474,318.47735302337475,1935.9286699860916,False,129446.0,33465.76313019617,91431.64166666666,8113.653739923536,10869.998038463164,5915.201117737939,4071.720059019578,1980.6906057004292,240.01776926091836,5222.282855648888,5462.300624909807,1.92488481645432,293755.343292807,799396.328563443,836563.3906885631,1929715.062544813,132486.56853861577,415492.6950608885,98135.39637770691,646114.6599772112,916440.6524414058,0.0,3492270.3749634298,2200722.719165624,0.0,0,True,19759.93071297023,0.2169402070521897,económico LP + reserva multianual de degradación,24898.852896124637,359.28240341813216,1.464094098651465,690.0157346432243,-2.020202020202033,95.9563717075932,95.16017832503476,0.9708682279980252,1705586.9318949007,1216047.8209545715,19.23493417805466
7,0.966,0.9516017832503476,0.7650390624999999,0.9436816685142148,19.089131772001974,18.93025427039515,13.999642224391742,7197.981931269491,316.8045894453141,2252.7332594314057,False,129446.0,33327.759983267526,91431.64166666666,8105.19392331225,10926.91219862134,5938.886137262225,4050.576274888572,1970.0448386332173,240.11206368321007,5193.498491270206,5433.610554953416,1.9089131772001973,300785.2814785385,823671.4302785349,860910.8956123469,1985367.6073694208,135798.73275208118,425880.01243741065,100588.7812871496,662267.5264766415,939351.6687524408,0.0,3586986.802598503,2092972.3472482576,0.0,0,True,19697.26400016116,0.1193504004760654,económico LP + reserva multianual de degradación,24970.992259195817,431.42176648931127,1.758065678523329,828.0188815718648,-2.4242424242424288,95.16017832503476,94.36816685142148,1.1297457296048492,1711976.2656141575,1158442.9299646202,19.290663488401197
8,0.962,0.9436816685142148,0.7653320312499998,0.9358029056984478,18.93025427039515,18.772206288310866,14.005140024692116,6895.1824818488685,315.15051263067943,2567.883772062085,False,129446.0,33189.756836338885,91431.64166666666,8096.539909344163,10983.881847907607,5962.74796824327,4029.748223360057,1959.4384661497188,240.20635810550183,5165.034629177071,5405.240987282572,1.893025427039515,307975.73261579283,848664.9517178724,885979.1953206067,2042619.879654272,139193.7010708832,436527.0127483459,103103.50081932834,678824.2146385574,962835.460471252,0.0,3684279.554764081,1990501.6052458256,0.0,0,True,19634.554826047104,0.0677002262849981,económico LP + reserva multianual de degradación,25043.16972549504,503.599232788536,2.0521925309907627,966.0220285005053,-2.8282828282828243,94.36816685142148,93.58029056984478,1.2877937116891331,1718385.0932434166,1103563.9638423733,19.34642223436417
9,0.958,0.9358029056984478,0.7653320312499998,0.9279648605705464,18.772206288310866,18.61497510304516,14.010637824992484,6594.042607043182,313.52180511605894,2881.405577178144,False,129446.0,33051.75368941024,91431.64166666666,8087.957821773263,11040.624808119845,5986.762038001921,4009.111012782059,1949.1233762340755,240.3006525277936,5137.005883559268,5377.3065360870605,1.8772206288310864,315340.51983956934,874375.4016746508,911786.0267254896,2101501.9482397097,142673.54359765525,447440.1880670545,105681.08833981153,695794.8200045213,986906.346983033,0.0,3784203.115227264,1893043.699808088,0.0,0,True,19571.796120990766,0.0160500520939308,económico LP + reserva multianual de degradación,25115.344667895028,575.7741751885223,2.346309098440212,1104.025175429153,-3.232323232323231,93.58029056984478,92.79648605705464,1.4450248969548376,1724800.517574774,1051274.1790316636,19.402179030557164
10,0.954,0.9279648605705464,0.7656249999999999,0.9201671736267928,18.61497510304516,18.458553502953464,14.016135625292856,6294.536937552415,311.90747775013875,3193.313054928283,False,129446.0,32913.75054248159,91431.64166666666,8079.461680268888,11097.133524200295,6010.945887559731,3988.685774331954,1938.8695975638395,240.3949469500853,5109.223776185869,5349.6187231359545,1.861497510304516,322884.4963071665,900821.943511008,938355.9666665688,2162062.406484743,146240.38218759664,458626.19276873086,108323.1155483068,713189.6905046343,1011579.0056576089,0.0,3886831.102646986,1800354.8560310963,0.0,0,True,19508.99665241734,0.0,económico LP + reserva multianual de degradación,25187.541092028914,647.9705993224088,2.640513205049756,1242.0283223578008,-3.6363636363636487,92.79648605705464,92.01671736267927,1.6014464970465347,1731224.68878659,1001453.2275164344,19.457952421881647
