Año,SOH mínimo técnico,Ciclos mínimos técnicos,Máx ciclos acumulados por SOH técnico,Envolvente ciclos acumulados al inicio,Envolvente ciclos acumulados al final,Envolvente ciclos acumulados siguiente inicio
1,0.76416015625,13.971338142123187,9433.59375,9036.016111077077,9049.987449219198,9049.987449219198
2,0.76416015625,13.975652696785074,9433.59375,9049.987449219198,9063.963101915982,9063.963101915982
3,0.764453125,13.97998507883705,9421.875000000002,9063.963101915982,9077.94308699482,9077.94308699482
4,0.764453125,13.984570897038765,9421.875000000002,9077.94308699482,9091.927657891858,9091.927657891858
5,0.7647460937499999,13.989156715240476,9410.156250000004,9091.927657891858,9105.9168146071,9105.9168146071
6,0.7650390624999999,13.994144424091372,9398.437500000004,9105.9168146071,9119.910959031193,9119.910959031193
7,0.7650390624999999,13.999642224391742,9398.437500000004,9119.910959031193,9133.910601255582,9133.910601255582
8,0.7653320312499998,14.005140024692116,9386.718750000007,9133.910601255582,9147.915741280274,9147.915741280274
9,0.7653320312499998,14.010637824992484,9386.718750000007,9147.915741280274,9161.926379105267,9161.926379105267
10,0.7656249999999999,14.016135625292856,9375.000000000004,9161.926379105267,9175.94251473056,9175.94251473056
11,0.7656249999999999,14.021633425593228,9375.000000000004,9175.94251473056,9189.964148156152,9189.964148156152
12,0.76591796875,14.027131225893596,9363.281250000002,9189.964148156152,9203.991279382046,9203.991279382046
13,0.76591796875,14.032629026193964,9363.281250000002,9203.991279382046,9218.02390840824,9218.02390840824
14,0.7662109374999999,14.03812682649434,9351.562500000004,9218.02390840824,9232.062035234734,9232.062035234734
15,0.7662109374999999,14.043624626794708,9351.562500000004,9232.062035234734,9246.105659861529,9246.105659861529
16,0.7665039062499999,14.04912242709508,9339.843750000004,9246.105659861529,9260.154782288624,9260.154782288624
17,0.7667968749999998,14.05462022739545,9328.125000000007,9260.154782288624,9274.20940251602,9274.20940251602
18,0.7667968749999998,14.060118027695818,9328.125000000007,9274.20940251602,9288.269520543716,9288.269520543716
19,0.7670898437499998,14.065615827996192,9316.40625000001,9288.269520543716,9302.335136371712,9302.335136371712
20,0.7670898437499998,14.071113628296562,9316.40625000001,9302.335136371712,9316.40625000001,9316.40625000001
