Componente,Valor presente [USD],Participación costo total [%]
CAPEX FV,12396677.61461233,17.365358311981247
CAPEX eólico,9775500.0,13.693593191346476
CAPEX BESS energía,4764250.0,6.673796876054673
CAPEX BESS potencia,1211364.342961139,1.6968881918073297
CAPEX fijo proyecto,400000.0,0.5603229785216706
VP OPEX FV,1810439.8309613187,2.53607759629629
VP OPEX eólico,2639271.4526154357,3.697111103641743
VP OPEX BESS,1277840.3017071686,1.7900082098189771
VP potencia contratada,9549720.034389654,13.377318934293204
VP red Valle,5971235.9471035,8.364551778341754
VP red Resto,10295657.780210705,14.422234083118685
VP red Pico,11295441.630128322,15.822738744777938
VP reemplazo BESS,0.0,0.0
