N aeros,N containers BESS,E_BESS [MWh],Factible surrogate,Factible exacto,P_FV mejor surrogate [MW],P_BESS mejor surrogate [MW],Costo surrogate mejor [USD],P_FV exacto inicial [MW],P_BESS exacto inicial [MW],Costo exacto inicial [USD],Tiempo acumulado [min],P_FV refinado [MW],P_BESS refinado [MW],Costo exacto refinado [USD],Costo final familia [USD]
5,4,20.06,True,True,14.491425305853385,3.5521944018448854,71075639.18205413,14.491425305853385,3.5521944018448854,67425138.48940195,30.652473338445027,15.241425305853385,3.7271944018448853,67358310.88836035,67358310.88836035
4,4,20.06,True,True,19.031610292805752,4.4972682057936515,72386788.7372137,19.031610292805752,4.4972682057936515,67584353.32078202,23.836337784926098,18.019110292805752,4.4972682057936515,67508101.76504171,67508101.76504171
4,5,25.075,True,True,16.937894361451317,5.148793618407597,73163408.23981178,16.937894361451317,5.148793618407597,67612144.0361267,24.944870626926424,17.687894361451317,4.973793618407597,67551831.74497983,67551831.74497983
5,5,25.075,True,True,17.27368374777867,3.6505435274092015,72046120.5005169,17.27368374777867,3.6505435274092015,67976938.8754489,31.57076154947281,17.27368374777867,4.325543527409201,67696709.67975575,67696709.67975575
4,6,30.089999999999996,True,True,18.166723881391324,5.136636156002931,74058814.79828218,18.166723881391324,5.136636156002931,67892107.48909014,25.911044204235075,17.904223881391324,5.636636156002931,67821672.72617368,67821672.72617368
5,6,30.089999999999996,True,True,16.02167695259258,4.7883179782844465,73029355.74796672,16.02167695259258,4.7883179782844465,68105250.06737623,32.346382013956706,16.02167695259258,5.463317978284446,67986445.63531578,67986445.63531578
4,7,35.105,True,True,17.310110404578882,6.416879651392411,75114291.56962939,17.310110404578882,6.416879651392411,68213172.38133274,26.911010460058847,,,,68213172.38133274
5,7,35.105,True,True,16.660295024384865,5.109911708933796,74093548.89098394,16.660295024384865,5.109911708933796,68775348.0625036,33.20032134453456,,,,68775348.0625036
4,8,40.12,True,True,18.19603873204897,5.738155252881581,76149621.48063958,18.19603873204897,5.738155252881581,69108766.12896281,27.768873023986817,,,,69108766.12896281
5,8,40.12,True,True,17.696221882699444,3.7350730001717176,75372461.98693967,17.696221882699444,3.7350730001717176,70718505.10049725,33.91583389043808,,,,70718505.10049725
3,7,35.105,True,True,20.428330923994366,6.038846407211674,79068494.20455678,20.428330923994366,6.038846407211674,71541001.28675817,21.20988802909851,,,,71541001.28675817
3,6,30.089999999999996,True,True,18.940480025167652,5.011420116173157,78069235.36061479,18.940480025167652,5.011420116173157,71563707.76387654,20.229708536465964,,,,71563707.76387654
3,5,25.075,True,True,18.388631911281756,4.440653121632124,77197129.65083915,18.388631911281756,4.440653121632124,71579659.7958887,18.89505979617437,,,,71579659.7958887
3,4,20.06,True,True,18.47077827097769,4.841764644080377,76516474.1604042,18.47077827097769,4.841764644080377,71907742.79412907,17.948598301410676,,,,71907742.79412907
3,8,40.12,True,True,19.085152953667592,6.164812244036064,80007021.01565328,19.085152953667592,6.164812244036064,72092177.6259902,22.194568781057992,,,,72092177.6259902
5,3,15.044999999999998,True,True,25.13472361831401,4.228564966110266,73007699.4549444,25.13472361831401,4.228564966110266,74580106.90326336,29.27940221230189,,,,74580106.90326336
2,7,35.105,True,True,21.52680265606552,7.387022949035899,85405732.39684628,21.52680265606552,7.387022949035899,78189160.482945,15.037154793739319,,,,78189160.482945
2,6,30.089999999999996,True,True,23.66665390075523,5.115576724100441,84563254.05584371,23.66665390075523,5.115576724100441,78304168.95601246,14.113425779342652,,,,78304168.95601246
2,5,25.075,True,True,22.15092498386097,3.9824077161883067,83538931.36885527,22.15092498386097,3.9824077161883067,78444494.83635867,13.250656366348267,,,,78444494.83635867
2,8,40.12,True,True,22.39093944907725,6.367400560845598,86307783.96021955,22.39093944907725,6.367400560845598,78625084.70075624,16.11658813158671,,,,78625084.70075624
2,4,20.06,True,True,20.953707666769805,6.183939693261823,83146220.39568521,20.953707666769805,6.183939693261823,79065143.91880512,11.971218355496724,,,,79065143.91880512
1,7,35.105,True,True,25.59974500160033,7.798817357842116,93453765.40706775,25.59974500160033,7.798817357842116,87219646.97033906,8.937722766399384,,,,87219646.97033906
1,4,20.06,True,True,23.618013485075068,3.6518927420717393,90466533.33987953,23.618013485075068,3.6518927420717393,87365998.38705552,6.303197832902272,,,,87365998.38705552
1,6,30.089999999999996,True,True,21.470562362520194,6.878039508598073,92768587.48295714,21.470562362520194,6.878039508598073,87545542.22234592,8.080393536885579,,,,87545542.22234592
1,5,25.075,True,True,23.654452960177153,8.81517593563092,92242684.9387008,23.654452960177153,8.81517593563092,87744361.48498315,7.126942745844523,,,,87744361.48498315
1,8,40.12,True,True,25.831336301724633,6.207256004467332,94358305.59525919,25.831336301724633,6.207256004467332,87804611.52360472,10.136812659104665,,,,87804611.52360472
0,7,35.105,True,True,25.755188384449305,5.612006684258549,102339446.33865145,25.755188384449305,5.612006684258549,98030894.62184685,3.8636243899663287,,,,98030894.62184685
0,8,40.12,True,True,25.457874516147243,5.897382546079443,103484600.80160995,25.457874516147243,5.897382546079443,98885643.26701787,4.699819167455037,,,,98885643.26701787
0,6,30.089999999999996,True,True,25.48814830055799,6.706979750035481,101246540.75976373,25.48814830055799,6.706979750035481,102445477.31919429,2.326502025127411,,,,102445477.31919429
0,0,0.0,False,False,,,,,,,,,,,
0,1,5.015,False,False,,,,,,,,,,,
0,2,10.03,False,False,,,,,,,,,,,
0,3,15.044999999999998,False,False,,,,,,,,,,,
0,4,20.06,False,False,,,,,,,,,,,
0,5,25.075,False,False,,,,,,,,,,,
1,0,0.0,False,False,,,,,,,,,,,
1,1,5.015,False,False,,,,,,,,,,,
1,2,10.03,False,False,,,,,,,,,,,
1,3,15.044999999999998,False,False,,,,,,,,,,,
2,0,0.0,False,False,,,,,,,,,,,
2,1,5.015,False,False,,,,,,,,,,,
2,2,10.03,False,False,,,,,,,,,,,
2,3,15.044999999999998,False,False,,,,,,,,,,,
3,0,0.0,False,False,,,,,,,,,,,
3,1,5.015,False,False,,,,,,,,,,,
3,2,10.03,False,False,,,,,,,,,,,
3,3,15.044999999999998,False,False,,,,,,,,,,,
4,0,0.0,False,False,,,,,,,,,,,
4,1,5.015,False,False,,,,,,,,,,,
4,2,10.03,False,False,,,,,,,,,,,
4,3,15.044999999999998,False,False,,,,,,,,,,,
5,0,0.0,False,False,,,,,,,,,,,
5,1,5.015,False,False,,,,,,,,,,,
5,2,10.03,False,False,,,,,,,,,,,
