N aeros,N containers BESS,E_BESS [MWh],P_FV máximo espacial V19.1 [MW],Factible surrogate,Factible exacto,P_FV mejor surrogate [MW],P_BESS mejor surrogate [MW],Costo surrogate mejor [USD],P_FV exacto inicial [MW],P_BESS exacto inicial [MW],Costo exacto inicial [USD],Tiempo acumulado [min],P_FV refinado [MW],P_BESS refinado [MW],Costo exacto refinado [USD],Costo final familia [USD]
3,5,25.075,23.3212,True,True,19.440028688293697,4.893470054230708,77203261.25015888,19.440028688293697,4.893470054230708,71408408.56885684,2.19236741065979,20.190028688293697,5.0684700542307075,71387398.93468957,71387398.93468957
3,6,30.089999999999996,23.3212,True,True,18.274862224439364,5.5915749321419215,78131300.83851784,18.274862224439364,5.5915749321419215,71562141.95115215,2.972272213300069,19.287362224439363,5.5915749321419215,71407456.46799698,71407456.46799698
3,7,35.105,23.3212,True,True,19.314597149159624,5.645992771981933,79017414.89061359,19.314597149159624,5.645992771981933,71713301.92444116,3.9620552539825438,19.314597149159624,6.320992771981933,71515675.58902392,71515675.58902392
3,4,20.06,23.3212,True,True,18.692388854748327,3.5016981333069666,76325686.90568341,18.692388854748327,3.5016981333069666,71714833.83251756,1.3819944699605307,19.442388854748327,3.6766981333069664,71635453.91718987,71635453.91718987
3,8,40.12,23.3212,True,True,17.73135691150133,7.498574807782128,80174233.8219422,17.73135691150133,7.498574807782128,72040802.34660989,4.604359606901805,18.74385691150133,7.498574807782128,71782983.19776407,71782983.19776407
4,5,25.075,6.9307,True,True,6.836260909319224,4.973207064180334,76956117.53749976,6.836260909319224,4.973207064180334,71945598.31710576,6.611522654692332,6.9307,4.7982070641803345,71840004.92752945,71840004.92752945
4,4,20.06,6.9307,True,True,6.78331735503783,4.721845748829684,76222385.53112058,6.78331735503783,4.721845748829684,72051903.37912683,5.83619563182195,,,,72051903.37912683
4,6,30.089999999999996,6.9307,True,True,6.684698608124918,5.105809117873996,77931334.55741352,6.684698608124918,5.105809117873996,72205906.59779459,7.4767880956331885,,,,72205906.59779459
4,7,35.105,6.9307,True,True,6.71571700562888,5.595050248557923,78935133.03847526,6.71571700562888,5.595050248557923,72587892.04192011,8.27412089506785,,,,72587892.04192011
4,8,40.12,6.9307,True,True,6.907101951503201,8.150886365868214,80128613.21544987,6.907101951503201,8.150886365868214,73079525.89852138,8.936016694704692,,,,73079525.89852138
3,0,0.0,23.3212,False,False,,,,,,,,,,,
3,1,5.015,23.3212,False,False,,,,,,,,,,,
3,2,10.03,23.3212,False,False,,,,,,,,,,,
3,3,15.044999999999998,23.3212,False,False,,,,,,,,,,,
4,0,0.0,6.9307,False,False,,,,,,,,,,,
4,1,5.015,6.9307,False,False,,,,,,,,,,,
4,2,10.03,6.9307,False,False,,,,,,,,,,,
4,3,15.044999999999998,6.9307,False,False,,,,,,,,,,,
