N aeros,N containers BESS,Layout espacial factible,P_FV máxima espacial usada [MW],Área sombra V19.1 [ha],Distancia mínima layout [m],Fuente
0,0,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
0,1,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
0,2,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
0,3,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
0,4,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
0,5,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
0,6,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
0,7,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
0,8,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,0,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,1,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,2,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,3,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,4,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,5,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,6,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,7,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
1,8,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,0,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,1,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,2,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,3,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,4,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,5,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,6,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,7,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
2,8,True,30.0,,,V19/V19.1: capacidad espacial > dominio FV
3,0,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
3,1,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
3,2,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
3,3,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
3,4,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
3,5,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
3,6,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
3,7,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
3,8,True,23.3212,47.782,653.5,fallback corrida V19.1 confirmada
4,0,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
4,1,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
4,2,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
4,3,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
4,4,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
4,5,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
4,6,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
4,7,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
4,8,True,6.9307,66.615,657.38,fallback corrida V19.1 confirmada
5,0,False,0.0,,,fallback corrida V19.1 confirmada
5,1,False,0.0,,,fallback corrida V19.1 confirmada
5,2,False,0.0,,,fallback corrida V19.1 confirmada
5,3,False,0.0,,,fallback corrida V19.1 confirmada
5,4,False,0.0,,,fallback corrida V19.1 confirmada
5,5,False,0.0,,,fallback corrida V19.1 confirmada
5,6,False,0.0,,,fallback corrida V19.1 confirmada
5,7,False,0.0,,,fallback corrida V19.1 confirmada
5,8,False,0.0,,,fallback corrida V19.1 confirmada
